"CODE","BRAND"
1,"ALLINSON"
2,"ALPEN"
3,"ASDA"
4,"BEMAX"
5,"BIRDS"
6,"BUDGENS"
7,"BRANFARE"
8,"CEREALPARTNERSUK"
10,"CHESHIREWHOLEFOOD"
11,"COOP"
12,"COUNTRYMILLS"
13,"FAIRTRADING"
14,"FAMILIA"
15,"FAMILYCHOICE"
16,"FARMHOUSE"
17,"FORCE"
18,"GATEWAY"
19,"GRANOLA"
20,"GRANOSE"
21,"HAPPYSHOPPER"
22,"HARRISONS"
23,"HEALTHSTORE"
24,"HEALTHSHOPOWNBRAND"
25,"HOLLYMILL"
26,"ICELAND"
27,"JORDANS"
28,"KELLOGGS"
29,"KRAFT"
30,"LONDIS"
31,"LYONS"
32,"MARKSSPENCER"
33,"MAPLETONS"
34,"MARSHALLS"
35,"MORLAKE"
36,"MORNFLAKES"
37,"NABISCO"
38,"NESTLE"
39,"NISA"
40,"PEARCEDUFF"
41,"PREWETTS"
42,"QUAKER"
43,"SAFEWAY"
44,"SAINSBURY"
45,"SCOTTS"
46,"SOMERVILLE"
47,"SOMERFIELD"
48,"SPAR"
49,"SUNVALLEY"
50,"SUNBLEST"
51,"SUNNYJIM"
52,"TESCO"
53,"TRAIDCRAFT"
54,"WEIGHNSAVE"
56,"WHITWORTHS"
57,"WHOLEEARTH"
58,"WINDMILL"
59,"ALLOTHERBRANDS"
