FIELD,GROUP_ID
'ID',6
'BEEF',7
'BURGER',5
'PORK',7
'LAMB',7
'CHICKEN',5
'BACON',7
'HAM',7
'CORNED_BEEF',5
'SAUSAGES',5
'SAVOURY_PIES',5
'LIVER',5
'FRIED_FISH',5
'FISH_FINGERS',5
'WHITE_FISH',5
'OILY_FISH',5
'SHELLFISH',5
'ROE',5
'WHITE_BREAD',5
'BROWN_BREAD',5
'WHOLEMEAL_BREAD',5
'CRACKERS',5
'CRISPBREAD',5
'PORRIDGE',5
'CERIAL',1
'BOILED_POTATOES',5
'CHIPS',4
'ROAST_POTATOES',4
'POTATO_SALAD',5
'WHITE_RICE',5
'BROWN_RICE',5
'WHITE_PASTA',5
'WHOLEMEAL_PASTA',5
'LASAGNE',5
'PIZZA',5
'SINGLE_CREAM',5
'DOUBLE_CREAM',5
'LOWFAT_YOGURT',5
'FULLFAT_YOGURT',5
'DAIRY_DESSERT',5
'CHEESE',5
'COTTAGE_CHEESE',5
'EGGS',5
'QUICHE',5
'LOWCAL_SALAD_CREAM',5
'SALAD_CREAM',5
'FRENCH',5
'OTHER_DRESSING',5
'BUTTER',5
'HARD_MARGARINE',5
'POLYUNSATURATED_MARGARINE',5
'OTHER_MARGARINE',5
'LOWFAT_SPREAD',5
'VERY_LOWFAT_SPREAD',5
'PLAIN_BISCUIT',5
'CHOCOLATE_BISCUIT',5
'HOMEBAKED_CAKE',3
'READYMADE_CAKE',5
'HOMEBAKED_BUNS',3
'READYMADE_BUNS',5
'HOMEBAKED_FRUIT_PIES',3
'READYMADE_FRUIT_PIES',5
'HOMEBAKED_SPONGE',3
'READYMADE_SPONGE',5
'MILK_PUDDINGS',5
'ICE_CREAM',5
'CHOCOLATES',5
'CHOCOLATE_BARS',5
'SWEETS',5
'SUGAR',5
'CRISPS',5
'NUTS',5
'VEGETABLE_SOUP',5
'MEAT_SOUP',5
'SAUCES',3
'KETCHUP',5
'PICKLES',5
'MARMITE',5
'JAM',5
'PEANUT_BUTTER',5
'TEA',5
'INSTANT_COFFEE',5
'DECAFF_COFFEE',5
'COFFEE_WHITENER',5
'COCOA',5
'HORLICKS',5
'WINE',5
'BEER',5
'PORT',5
'SPIRITS',5
'LOWCAL_FIZZY_DRINKS',5
'FIZZY_DRINKS',5
'FRUIT_JUICE',5
'FRUIT_SQUASH',5
'APPLES',5
'PEARS',5
'ORANGES',5
'GRAPEFRUIT',5
'BANANAS',5
'GRAPES',5
'MELONS',5
'PEACHES',5
'STRAWBERRIES',5
'TINNED_FRUIT',5
'DRIED_FRUIT',5
'CARROTS',5
'SPINACH',5
'BROCCOLI',5
'SPROUTS',5
'CABBAGE',5
'PEAS',5
'GREEN_BEANS',5
'MARROW',5
'CAULIFLOWER',5
'PARSNIPS',5
'LEEKS',5
'ONIONS',5
'GARLIC',5
'MUSHROOMS',5
'PEPPERS',5
'BEANSPROUTS',5
'GREEN_SALAD',5
'WATERCRESS',5
'TOMATOES',5
'SWEETCORN',5
'BEETROOT',5
'COLESLAW',5
'AVOCADO',5
'BEANS',5
'LENTILS',5
'TOFU',5
'OTHER_FOODS',8
'FOOD1',8
'SIZE1',8
'FREQUENCY1',8
'FOOD2',8
'SIZE2',8
'FREQUENCY2',8
'FOOD3',8
'SIZE3',8
'FREQUENCY3',8
'FOOD4',8
'SIZE4',8
'FREQUENCY4',8
'FOOD5',8
'SIZE5',8
'FREQUENCY5',8
'FOOD6',8
'SIZE6',8
'FREQUENCY6',8
'MILK',2
'MILK_OTHER',2
'MILK_FREQUENCY',2
'EAT_BREAKFAST',1
'CERIAL1',1
'TYPE1',1
'CERIAL2',1
'TYPE2',1
'FAT_FRYING',4
'FAT_FRYING_TYPE',4
'FAT_BAKING',3
'FAT_BAKING_TYPE',3
'FRY_FREQUENCY_HOME',8
'FRY_FREQUENCY_OUT',8
'VISIBLE_FAT',7
'GRILL_FREQUENCY',8
'HOW_COOKED',8
'ADD_SALT_COOKING',8
'ADD_SALT_TABLE',8
'SALT_SUBSTITUTE',8
'SALT_SUBSTITUTE_BRAND',8
'SUPPLEMENTS',8
'VITAMIN1',8
'DOSE1',8
'VITAMIN2',8
'DOSE2',8
'VITAMIN3',8
'DOSE3',8
'VITAMIN4',8
'DOSE4',8
'VITAMIN8',8
'DOSE5',8
'VITAMIN6',8
'DOSE6',8
'VITAMIN7',8
'DOSE7',8
'VITAMIN8',8
'DOSE8',8
'DE_INITIALS',8
'VERSION',8
'VIT1_FREQ',8
'VIT2_FREQ',8
'VIT3_FREQ',8
'VIT4_FREQ',8
'VIT5_FREQ',8
'VIT6_FREQ',8
'VIT7_FREQ',8
'VIT8_FREQ',8
'DATE_OF_ENTRY',8
'MISSING_TICKS',8
'SEX',8
'DOB',8
'VEG',8
'SALAD',8
'FRUIT',8
'FISH',8
'MEAT',8
