"LINE","FOOD_CODE","PORTION","MODIFIER"
1,"18005",16,"a"
1,"18049",99,
2,"19029",100,
3,"18205",23,"a"
3,"18251",92,
4,"18100",30,"a"
4,"18141",85,
5,"18331",100,
5,"18361",15,
6,"339",19,"a"
6,"19008",41,
7,"339",13,"a"
7,"19024",47,
8,"19128",30,
8,"19135",30,
9,"19077",30,
9,"19080",30,
10,,1,"b"
10,"19056",30,
10,"19063",30,
10,"19067",10,
10,"19068",10,
10,"19069",15,
10,"f0535",15,
11,"18414",40,
11,"18418",15,
11,"19106",5,
12,"16023",160,
13,"16281",58,
13,"16289",58,
14,"16013",115,
15,"16176",19,
15,"16188",19,
15,"16192",19,
15,"16203",19,
15,"16216",19,
15,"16229",19,
16,"16232",20,
16,"16239",20,
16,"16256",20,
17,"16307",45,
18,"11099",30,
19,"11070",30,
20,"11113",35,
21,"11167",10,
22,"11168",10,
23,"11143",137,
23,"11145",15,
24,,30,"c"
25,"13013",125,
26,,8,"d"
26,"13022",63,
26,"f3025",63,
27,,3,"d"
27,"17020",3,
27,"f3016",63,
27,"f3016",63,
28,"15296",15,
28,"15297",15,
28,"15298",15,
29,"11043",150,
30,"11036",140,
31,"11062",150,
32,"11064",180,
33,"19238",100,
33,"19247",100,
34,"11349",75,
34,"11350",75,
35,"12113",20,
36,"12116",20,
37,"12160",42,
37,"12188",42,
37,"12190",42,
38,"12185",63,
38,"12194",63,
39,"12220",63,
39,"12247",63,
40,"12131",10,
40,"12134",12,
40,"12154",12,
41,"12147",60,
42,"12801",50,
43,"12283",75,
43,"12285",75,
44,"17318",30,
45,"17316",10,
45,"17326",20,
46,"17302",15,
47,"17318",30,
48,"17013",10,
49,"17018",10,
50,"17023",10,
51,"17020",10,
52,"17026",10,
53,"17028",10,
54,"11169",17,
55,"11183",8,
56,,13,"b"
56,"f1201",35,
56,"f1211",33,
57,"11200",35,
57,"17020",9,
57,"f1211",33,
58,,13,"b"
58,"f1171",30,
58,"f1266",24,
59,"11242",38,
59,"17020",4,
59,"f1120",25,
60,,13,"b"
60,"f1294",75,
60,"f1309",60,
61,"11310",60,
61,"17020",24,
61,"f1294",70,
62,,29,"b"
62,"f1325",170,
63,"17020",24,
63,"f1325",170,
64,"12248",80,
64,"12250",50,
65,"12200",27,
65,"12204",27,
65,"12206",27,
66,"17088",8,
67,"17094",25,
67,"17100",25,
68,"17101",10,
68,"17117",10,
68,"17120",10,
69,"17063",6,
70,"17133",30,
71,"14821",10,
71,"14834",20,
72,"17284",200,
73,"17250",100,
73,"17272",100,
74,,2,"b"
74,"f2268",15,
74,"f2296",15,
75,"17338",30,
76,"17341",20,
76,"17352",20,
77,"17380",9,
78,"17073",18,
79,"14829",19,
80,"17165",190,
81,"17152",190,
82,"17152",190,
83,"12027",3,
84,"1064",12,
85,"12097",12,
85,"12108",12,
86,"17229",125,
87,"17211",192,
87,"17222",96,
88,"17236",25,
88,"17240",25,
89,"17247",23,
90,"a7001",200,
91,"17175",100,
91,"17179",100,
92,"14271",60,
92,"14283",60,
93,"17189",40,
94,"14013",120,
95,"14191",60,
95,"14193",60,
96,"14176",120,
97,"14105",80,
98,"14045",100,
99,"14109",50,
100,"14153",180,
101,"14025",10,
101,"14183",10,
101,"14213",10,
102,"14124",20,
102,"14244",10,
102,"14260",10,
103,"14096",60,
103,"14097",60,
104,"14031",10,
104,"14231",9,
104,"14242",6,
105,"13201",34,
105,"13204",30,
106,"13344",75,
107,"13171",42,
107,"13349",38,
108,"13178",87,
109,"13193",30,
109,"13195",32,
109,"13197",29,
110,"13133",31,
110,"13135",32,
111,"13065",26,
111,"13082",20,
111,"13113",24,
112,"13231",36,
112,"13275",36,
113,"13216",110,
114,"13313",32,
114,"13360",42,
115,"13264",76,
116,"13304",34,
117,"13244",5,
118,"13285",45,
119,"13318",13,
119,"13320",13,
120,"13052",42,
121,"13221",14,
121,"13233",10,
121,"13266",11,
122,"13396",17,
123,"13384",57,
124,"13369",43,
125,"13166",48,
126,"15077",20,
126,"15078",20,
126,"15079",20,
127,"14037",70,
128,"13043",42,
128,"13045",42,
128,"13046",42,
129,"13092",35,
129,"13142",35,
130,"13119",50,
130,"15314",6,
130,"15330",33,
